"index","tag","db_category_filled","tag_jp","category_jp"
"103","greyscale","general","グレースケール","画風・表現"
"104","collared_shirt","general","襟付きシャツ","衣服"
"105","comic","general","漫画","形式・媒体"
"106","fate/grand_order","copyright","Fate/Grand Order","作品・シリーズ"
"107","horns","general","角","身体特徴"
"108","boots","clothing","ブーツ","衣服"
"109","multiple_boys","general","複数の男の子","人数"
"110","nude","general","ヌード","成人向け/センシティブ"
"111","one_eye_closed","general","ウィンク","表情・感情"
"112","necktie","clothing","ネクタイ","アクセサリー"
"113","food","general","食べ物","飲食物"
"114","sleeveless","general","ノースリーブ","衣服"
"115","shorts","general","ショートパンツ","衣服"
"116","pokemon","copyright","ポケモン","作品・シリーズ"
"117","black_gloves","clothing","黒い手袋","衣服"
"118","censored","general","修正","成人向け/センシティブ"
"119","alternate_costume","general","別衣装","衣服"
"120","detached_sleeves","clothing","付け袖","衣服"
"121","lying","pose","横になっている","ポーズ・動作"
"122","wings","general","翼","身体特徴"
"123","pants","clothing","ズボン","衣服"
"124","sky","background","空","背景・環境"
"125","shoes","clothing","靴","衣服"
"126","choker","general","チョーカー","アクセサリー"
"127","idolmaster","copyright","アイドルマスター","作品・シリーズ"
"128","japanese_clothes","general","和服","衣服"
"129","penis","general","ペニス","成人向け/センシティブ"
"130","green_hair","general","緑色の髪","髪・目・肌"
"131","tongue","general","舌","身体特徴"
"132","medium_hair","general","セミロング","髪・目・肌"
"133","pointy_ears","general","とがった耳","身体特徴"
"134","virtual_youtuber","general","バーチャルYouTuber","職業・属性"
"135","socks","general","靴下","衣服"
"136","hololive","copyright","ホロライブ","団体・ブランド"
"137","artist_name","general","作者名","情報・メタ"
"138","puffy_sleeves","clothing","パフスリーブ","衣服"
"139","genshin_impact","copyright","原神","作品・シリーズ"
"140","blue_archive","copyright","ブルーアーカイブ","作品・シリーズ"
"141","hand_up","general","手を上げている","ポーズ・動作"
"142","glasses","general","眼鏡","アクセサリー"
"143","solo_focus","general","単独に焦点","人数"
"144","barefoot","general","素足","身体特徴"
"145","belt","clothing","ベルト","アクセサリー"
"146","black_thighhighs","general","黒のニーハイ","衣服"
"147","indoors","background","屋内","背景・環境"
"148","day","background","昼","背景・環境"
"149","hairclip","general","ヘアクリップ","アクセサリー"
"150","fang","general","八重歯","身体特徴"
"151","pussy","general","女性器","成人向け/センシティブ"
"152","official_alternate_costume","general","公式の別衣装","衣服"
"153","serafuku","general","セーラー服","衣服"
"154","elbow_gloves","clothing","肘までの手袋","衣服"
"155","white_gloves","clothing","白い手袋","衣服"
"156","bowtie","clothing","蝶ネクタイ","アクセサリー"
"157","midriff","general","腹部","身体特徴"
"158","black_skirt","clothing","黒いスカート","衣服"
"159","signature","background","署名","情報・メタ"
"160","hood","general","フード","衣服"
"161","2boys","general","二人の男の子","人数"
"162","dark_skin","general","褐色の肌","髪・目・肌"
"163","hair_flower","general","髪飾りの花","アクセサリー"
"164","blunt_bangs","general","ぱっつん前髪","髪・目・肌"
"165","tongue_out","general","舌を出している","表情・感情"
"166","sailor_collar","clothing","セーラー襟","衣服"
"167","cloud","background","雲","背景・環境"
"168","twitter_username","general","Twitterユーザー名","情報・メタ"
"169","black_footwear","general","黒い履物","衣服"
"170","looking_back","general","振り返っている","構図・カメラ"
"171","cat_ears","general","猫耳","身体特徴"
"172","pink_eyes","general","ピンク色の目","髪・目・肌"
"173","grey_background","general","グレーの背景","背景・環境"
"174","looking_at_another","pose","他の人を見ている","構図・カメラ"
"175","wide_sleeves","clothing","幅広い袖","衣服"
"176","fingerless_gloves","clothing","指なし手袋","衣服"
"177","miniskirt","clothing","ミニスカート","衣服"
"178","white_dress","clothing","白いドレス","衣服"
"179","stomach","general","お腹","身体特徴"
"180","sword","general","剣","武器"
"181","holding_weapon","object","武器を持っている","ポーズ・動作"
"182","vocaloid","copyright","VOCALOID","作品・シリーズ"
"183","sex","general","セックス","成人向け/センシティブ"
"184","speech_bubble","general","吹き出し","テキスト・シンボル"
"185","necklace","general","ネックレス","アクセサリー"
"186","mole","general","ほくろ","身体特徴"
"187","spread_legs","general","足を広げている","ポーズ・動作"
"188","hair_bun","general","お団子","髪・目・肌"
"189","off_shoulder","general","オフショルダー","衣服"
"190","kimono","clothing","着物","衣服"
"191","open_jacket","clothing","ジャケットを開けている","衣服"
"192","streaked_hair","general","メッシュヘア","髪・目・肌"
"193","star_(symbol)","general","星印","テキスト・シンボル"
"194","striped_clothes","general","縞模様の服","衣服"
"195","nail_polish","general","マニキュア","身体特徴"
"196","hair_over_one_eye","general","片目を隠している","髪・目・肌"
"197","cum","general","精液","成人向け/センシティブ"
"198","blurry","general","ぼかし","画質・解像度"
"199","armpits","general","脇","身体特徴"
"200","two-tone_hair","general","ツートンカラーの髪","髪・目・肌"
"201","on_back","general","仰向け","ポーズ・動作"
"202","arknights","copyright","アークナイツ","作品・シリーズ"
"203","grin","general","ニヤリ","表情・感情"
"204","3girls","general","三人の女の子","人数"
"205","halo","general","光輪","アクセサリー"
"206","black_dress","general","黒いドレス","衣服"
"207","chibi","general","ちびキャラ","画風・表現"
"208","azur_lane","copyright","アズールレーン","作品・シリーズ"
"209","orange_hair","general","オレンジ色の髪","髪・目・肌"
"210","black_jacket","clothing","黒いジャケット","衣服"
"211","english_text","general","英語のテキスト","テキスト・シンボル"
"212","sweatdrop","general","汗マーク","表情・感情"
"213","yuri","general","百合","関係・交流"
"214","tears","general","涙","表情・感情"
"215","vest","general","ベスト","衣服"
"216","bag","object","バッグ","アクセサリー"
"217","from_behind","general","後ろから","構図・カメラ"
"218","rabbit_ears","general","うさ耳","身体特徴"
"219","coat","clothing","コート","衣服"
"220","red_bow","clothing","赤いリボン","アクセサリー"
"221","idolmaster_cinderella_girls","copyright","アイドルマスター シンデレラガールズ","作品・シリーズ"
"222","from_side","pose","横から","構図・カメラ"
"223","black_eyes","general","黒い目","髪・目・肌"
"224","water","general","水","背景・環境"
"225","apron","general","エプロン","衣服"
"226","white_thighhighs","general","白のニーハイ","衣服"
"227","black_shirt","clothing","黒いシャツ","衣服"
"228","cape","clothing","ケープ","衣服"
"229","umamusume","copyright","ウマ娘","作品・シリーズ"
"230","huge_breasts","general","爆乳","身体特徴"
"231","arm_up","general","片腕を上げている","ポーズ・動作"
"232","armor","general","鎧","衣服"
"233","scarf","clothing","スカーフ","アクセサリー"
"234","character_name","general","キャラクター名","情報・メタ"
"235","leotard","general","レオタード","衣服"
"236","clothes_lift","general","服をめくり上げている","ポーズ・動作"
"237","bra","general","ブラジャー","衣服"
"238","bracelet","general","ブレスレット","アクセサリー"
"239","sweater","general","セーター","衣服"
"240","parted_bangs","general","分けた前髪","髪・目・肌"
"241","symbol-only_commentary","general","記号だけのコメント","情報・メタ"
"242","crop_top","general","クロップトップ","衣服"
"243","animal_ear_fluff","general","獣耳の毛","身体特徴"
"244","dated","general","日付入り","情報・メタ"
"245",":o","general","口を丸く開けている","表情・感情"
"246","high_heels","general","ハイヒール","衣服"
"247","blue_sky","background","青空","背景・環境"
"248","puffy_short_sleeves","clothing","半袖のパフスリーブ","衣服"
"249","collar","clothing","首輪","アクセサリー"
"250","red_ribbon","clothing","赤いリボン","アクセサリー"
"251","hands_up","general","両手を上げている","ポーズ・動作"
"252","feet","general","足","身体特徴"
"253","black_pantyhose","general","黒のパンスト","衣服"
"254","mosaic_censoring","general","モザイク処理","成人向け/センシティブ"
"255","fingernails","general","爪","身体特徴"
"256","vaginal","general","膣挿入","成人向け/センシティブ"
"257","white_panties","clothing","白いパンティ","衣服"
"258","v-shaped_eyebrows","general","ハの字眉","表情・感情"
"259","arms_up","general","両腕を上げている","ポーズ・動作"
"260","cup","general","カップ","飲食物"
"261","dark-skinned_female","general","褐色の女性","髪・目・肌"
"262","twin_braids","general","おさげ","髪・目・肌"
"263","looking_to_the_side","general","横を見ている","構図・カメラ"
"264","blue_skirt","clothing","青いスカート","衣服"
"265","neckerchief","general","ネッカチーフ","アクセサリー"
"266","eyelashes","general","まつげ","髪・目・肌"
"267","grey_eyes","general","灰色の目","髪・目・肌"
"268","side_ponytail","general","サイドポニー","髪・目・肌"
"269","two_side_up","general","ツーサイドアップ","髪・目・肌"
"270","scan","general","スキャン画像","形式・媒体"
"271","hatsune_miku","character","初音ミク","キャラクター"
"272","aqua_eyes","general","水色の目","髪・目・肌"
"273","orange_eyes","general","オレンジ色の目","髪・目・肌"
"274","multiple_views","general","複数の視点","構図・カメラ"
"275","sleeves_past_wrists","clothing","萌え袖","衣服"
"276","completely_nude","general","全裸","成人向け/センシティブ"
"277","fire_emblem","copyright","ファイアーエムブレム","作品・シリーズ"
"278","covered_nipples","general","乳首を隠している","成人向け/センシティブ"
"279","traditional_media","general","アナログ画材","制作媒体・ツール"
"280","love_live!","copyright","ラブライブ！","作品・シリーズ"
"281","symbol-shaped_pupils","general","記号のような瞳","髪・目・肌"
"282","fur_trim","general","毛皮の縁取り","衣服"
"283","cat_tail","general","猫の尻尾","身体特徴"
"284","clothing_cutout","general","服の穴あき / 服の切り抜き","衣服"
"285","sleeveless_shirt","clothing","袖なしシャツ","衣服"
"286","wrist_cuffs","general","リストカフス","アクセサリー"
"287","mole_under_eye","general","泣きぼくろ","身体特徴"
"288","upper_teeth_only","general","上の歯だけ見える","身体特徴"
"289","strapless","general","ストラップレス","衣服"
"290","tree","general","木","背景・環境"
"291","see-through_clothes","general","透けている服","衣服"
"292","muscular","general","筋肉質","身体特徴"
"293","hand_on_own_hip","general","腰に手を当てている","ポーズ・動作"
"294","sleeveless_dress","clothing","袖なしドレス","衣服"
"295","feet_out_of_frame","general","足が画面外","構図・カメラ"
"296","sparkle","general","きらめき","効果・演出"
"297","v","general","ピースサイン","ポーズ・動作"
"298","head_tilt","general","首をかしげている","ポーズ・動作"
"299","black_choker","general","黒いチョーカー","アクセサリー"
"300","sash","general","サッシュ","アクセサリー"
"301","maid_headdress","clothing","メイドカチューシャ","衣服"
"302","wet","general","濡れている","状態・質感"
"303","torn_clothes","general","破れた服","衣服"
"304","bar_censor","general","バー修正","成人向け/センシティブ"
"305","neck_ribbon","clothing","首のリボン","アクセサリー"
"306","fox_ears","general","きつね耳","身体特徴"
"307","buttons","general","ボタン","アクセサリー"
"308","gradient_background","background","グラデーションの背景","背景・環境"
"309","groin","general","股間","身体特徴"
"310","ascot","general","アスコットタイ","アクセサリー"
"311","toes","general","足の指","身体特徴"
"312","maid","general","メイド","職業・属性"
"313","fake_animal_ears","general","つけ耳","アクセサリー"
"314","cosplay","general","コスプレ","衣服"
"315","black_bow","clothing","黒いリボン","アクセサリー"
"316","lips","general","唇","身体特徴"
"317","pillow","general","枕","小物・道具"
"318","short_shorts","general","ショートパンツ","衣服"
"319","pubic_hair","general","陰毛","成人向け/センシティブ"
"320","final_fantasy","copyright","ファイナルファンタジー","作品・シリーズ"
"321","bare_arms","general","素腕","身体特徴"
"322","border","general","枠","スタイル/画質"
"323","honkai_(series)","copyright","崩壊シリーズ","作品・シリーズ"
"324","legs","general","脚","身体特徴"
"325","black_pants","clothing","黒いズボン","衣服"
"326","gun","general","銃","武器"
"327","black_ribbon","clothing","黒いリボン","アクセサリー"
"328","plaid_clothes","general","チェック柄の服","衣服"
"329","sketch","general","スケッチ","スタイル/画質"
"330","black_panties","clothing","黒いパンティ","衣服"
"331","gradient_hair","general","グラデーションの髪","髪・目・肌"
"332","hakurei_reimu","character","博麗霊夢","キャラクター"
"333","thigh_strap","general","太もものストラップ","身体特徴"
"334","single_braid","general","一本の三つ編み","髪・目・肌"
"335","shiny_skin","general","光沢のある肌","髪・目・肌"
"336","mahou_shoujo_madoka_magica","copyright","魔法少女まどか☆マギカ","作品・シリーズ"
"337","tattoo","general","タトゥー","身体特徴"
"338","book","general","本","小物・道具"
"339","hoodie","general","パーカー","衣服"
"340","zettai_ryouiki","general","絶対領域","衣服"
"341","bare_legs","general","素脚","身体特徴"
"342","facial_hair","general","髭","髪・目・肌"
"343","colored_skin","general","着色された肌","髪・目・肌"
"344","detached_collar","clothing","付け襟","アクセサリー"
"345","dress_shirt","clothing","ドレスシャツ","衣服"
"346","petals","general","花びら","背景・環境"
"347","one-piece_swimsuit","clothing","ワンピース水着","衣服"
"348","covered_navel","general","へそを隠している","身体特徴"
"349","blurry_background","general","ぼやけた背景","背景・環境"
"350","double_bun","general","ダブルお団子","髪・目・肌"
"351","kneehighs","general","ハイソックス","衣服"
"352","window","general","窓","背景・環境"
"353","makeup","general","メイク","身体特徴"
"354","swept_bangs","general","横分け前髪","髪・目・肌"
"355","profile","general","横顔","構図・カメラ"
"356","floating_hair","general","なびく髪","髪・目・肌"
"357","pokemon_(creature)","copyright","ポケモン（生物）","キャラクター・種族"
"358","horse_ears","general","馬の耳","身体特徴"
"359","blue_background","general","青い背景","背景・環境"
"360","hug","general","抱きしめる","関係・交流"
"361","blue_dress","clothing","青いドレス","衣服"
"362","bell","general","鈴","アクセサリー"
"363","leaning_forward","general","前かがみ","ポーズ・動作"
"364","capelet","clothing","ケープレット","衣服"
"365","flat_chest","general","貧乳","身体特徴"
"366","uncensored","general","無修正","成人向け/センシティブ"
"367","pov","general","一人称視点","構図・カメラ"
"368","mask","general","マスク","アクセサリー"
"369","kirisame_marisa","character","霧雨魔理沙","キャラクター"
"370","horse_girl","general","馬娘","種族・属性"
"371","open_shirt","clothing","シャツを開けている","衣服"
"372","turtleneck","general","タートルネック","衣服"
"373","sideboob","general","横乳","成人向け/センシティブ"
"374","bodysuit","general","ボディスーツ","衣服"
"375","kneeling","pose","跪く","ポーズ・動作"
"376","blue_bow","clothing","青いリボン","アクセサリー"
"377","black_shorts","general","黒いショートパンツ","衣服"
"378","dutch_angle","general","ダッチアングル","構図・カメラ"
"379","girls_und_panzer","copyright","ガールズ＆パンツァー","作品・シリーズ"
"380","blood","general","血","身体特徴"
"381","shadow","general","影","効果・演出"
"382","red_skirt","clothing","赤いスカート","衣服"
"383","saliva","general","唾液","身体特徴"
"384","skeb_commission","general","Skeb依頼","情報・メタ"
"385","skindentation","general","食い込み","身体特徴"
"386",":3","general","猫の口","表情・感情"
"387","expressionless","general","無表情","表情・感情"
"388","low_twintails","general","低いツインテール","髪・目・肌"
"389","scar","general","傷跡","身体特徴"
"390","black_bikini","clothing","黒いビキニ","衣服"
"391","aqua_hair","general","水色の髪","髪・目・肌"
"392","white_jacket","clothing","白いジャケット","衣服"
"393","hair_intakes","general","ヘアインテーク","髪・目・肌"
"394","copyright_name","general","作品名","情報・メタ"
"395","girls'_frontline","copyright","ドールズフロントライン","作品・シリーズ"
"396","anus","general","肛門","成人向け/センシティブ"
"397","brown_footwear","general","茶色い履物","衣服"
"398","frown","general","しかめっ面","表情・感情"
"399","alternate_hairstyle","general","別の髪型","髪・目・肌"
"400","^_^","general","にっこり顔","表情・感情"
"401","nose_blush","general","鼻先の赤らめ","表情・感情"
"402","piercing","general","ピアス","アクセサリー"
"403","muscular_male","general","筋肉質の男性","身体特徴"
"404","highleg","general","ハイレグ","衣服"
"405","heterochromia","general","オッドアイ","髪・目・肌"
"406","hololive_english","copyright","ホロライブEnglish","団体・ブランド"
"407","on_bed","general","ベッドの上","背景・環境"
"408","siblings","general","兄弟姉妹","関係・交流"
"409","white_socks","general","白いソックス","衣服"
"410","wavy_hair","general","波打つ髪","髪・目・肌"
"411","fruit","general","果物","飲食物"
"412","black_hat","clothing","黒い帽子","アクセサリー"
"413","thick_eyebrows","general","太眉","髪・目・肌"
"414","fox_tail","general","きつねの尻尾","身体特徴"
"415","nijisanji","copyright","にじさんじ","団体・ブランド"
"416","rose","general","薔薇","自然物"
"417","one_side_up","general","片側アップ","髪・目・肌"
"418","holding_sword","object","剣を持っている","ポーズ・動作"
"419","no_bra","general","ノーブラ","衣服"
"420","night","background","夜","背景・環境"
"421","pussy_juice","general","愛液","成人向け/センシティブ"
"422","holding_hands","general","手をつなぐ","ポーズ・動作"
"423","thick_thighs","general","肉付きの良い太もも","身体特徴"
"424","4girls","general","四人の女の子","人数"
"425","depth_of_field","general","被写界深度","撮影・画面効果"
"426","fangs","general","八重歯","身体特徴"
"427","watermark","general","透かし","情報・メタ"
"428","beret","general","ベレー帽","アクセサリー"
"429","mahou_shoujo_madoka_magica_(anime)","copyright","魔法少女まどか☆マギカ（アニメ）","作品・シリーズ"
"430","pectorals","general","大胸筋","身体特徴"
"431","military","general","ミリタリー","テーマ・ジャンル"
"432","bed","general","ベッド","家具・設備"
"433","halterneck","general","ホルターネック","衣服"
"434","underboob","general","下乳","成人向け/センシティブ"
"435","chain","general","チェーン","アクセサリー"
"436","abs","general","腹筋","身体特徴"
"437","precure","copyright","プリキュア","作品・シリーズ"
"438","blush_stickers","general","頬ステッカー","表情・感情"
"439","ocean","general","海","背景・環境"
"440","blue_shirt","clothing","青いシャツ","衣服"
"441","animal","general","動物","動物・生物"
"442","soles","general","足の裏","身体特徴"
"443","witch_hat","clothing","魔女の帽子","アクセサリー"
"444","cum_in_pussy","general","膣内射精","成人向け/センシティブ"
"445","kemono_friends","copyright","けものフレンズ","作品・シリーズ"
"446","danganronpa_(series)","copyright","ダンガンロンパシリーズ","作品・シリーズ"
"447","pink_background","general","ピンクの背景","背景・環境"
"448","headband","general","カチューシャ","アクセサリー"
"449","embarrassed","general","恥ずかしい","表情・感情"
"450","chinese_clothes","general","中華服","衣服"
"451","military_uniform","clothing","軍服","衣服"
"452","facial_mark","general","顔の模様","身体特徴"
"453","white_footwear","general","白い履物","衣服"
"454","playboy_bunny","general","バニーガール","衣服"
"455","arm_support","general","腕で支えている","ポーズ・動作"
"456","holding_food","object","食べ物を持っている","ポーズ・動作"
"457","frilled_dress","clothing","フリル付きドレス","衣服"
"458","hood_down","general","フードを下ろしている","衣服"
"459","side-tie_bikini_bottom","clothing","紐ビキニ","衣服"
"460","phone","general","スマホ","小物・道具"
"461","cameltoe","general","キャメルトゥ","成人向け/センシティブ"
"462","blue_jacket","clothing","青いジャケット","衣服"
"463","from_above","pose","上から","構図・カメラ"
"464","half-closed_eyes","general","半閉じの目","表情・感情"
"465","variant_set","general","差分セット","情報・メタ"
"466","cum_on_body","general","体に精液がかかっている","成人向け/センシティブ"
"467","plaid_skirt","clothing","チェック柄のスカート","衣服"
"468","white_bikini","clothing","白いビキニ","衣服"
"469","looking_down","general","下を見ている","構図・カメラ"
"470","leaf","general","葉","背景・環境"
"471","glowing","general","光っている","効果・演出"
"472","flandre_scarlet","character","フランドール・スカーレット","キャラクター"
"473","floral_print","general","花柄","衣服"
"474","granblue_fantasy","copyright","グランブルーファンタジー","作品・シリーズ"
"475","black_socks","general","黒いソックス","衣服"
"476","beach","background","ビーチ","背景・環境"
"477","bird","general","鳥","動物・生物"
"478","sunglasses","general","サングラス","アクセサリー"
"479","happy","general","幸せ","表情・感情"
"480","red_dress","clothing","赤いドレス","衣服"
"481","erection","general","勃起","成人向け/センシティブ"
"482","headphones","general","ヘッドホン","アクセサリー"
"483","bandages","general","包帯","アクセサリー"
"484","no_shoes","clothing","靴を履いていない","衣服"
"485","dark-skinned_male","general","褐色肌の男性","人物属性"
"486","sandals","general","サンダル","衣服"
"487","bob_cut","general","ボブカット","髪・目・肌"
"488","short_dress","clothing","短いドレス","衣服"
"489","female_pubic_hair","general","女性の陰毛","成人向け/センシティブ"
"490","thigh_boots","clothing","サイハイブーツ","衣服"
"491","bed_sheet","general","ベッドシーツ","小物・道具"
"492","white_flower","general","白い花","自然物"
"493","wariza","general","割り座","ポーズ・動作"
"494","black_hairband","general","黒いヘアバンド","アクセサリー"
"495","drill_hair","general","縦ロール","髪・目・肌"
"496","no_panties","clothing","ノーパン","衣服"
"497","white_bow","clothing","白いリボン","アクセサリー"
"498","cat_girl","general","猫耳少女","種族・属性"
"499","white_border","general","白い枠","構図・装飾"
"500","paid_reward_available","general","支援者限定リワードあり / 有償差分あり","情報・メタ"
"501","squatting","general","しゃがみ","ポーズ・動作"
"502","back","general","背中","身体特徴"
"503","obi","general","帯","衣服"
"504","white_skirt","clothing","白いスカート","衣服"
"505","chair","general","椅子","家具・設備"
"506","groping","general","愛撫","成人向け/センシティブ"
"507","flying_sweatdrops","general","飛び散る汗","表情・感情"
"508","heart-shaped_pupils","general","ハート型の瞳","表情・感情"
"509","bottomless","general","下半身裸","成人向け/センシティブ"
"510","remilia_scarlet","character","レミリア・スカーレット","キャラクター"
"511","honkai:_star_rail","copyright","崩壊：スターレイル","作品・シリーズ"
"512","cleavage_cutout","general","胸元のカットアウト","衣服"
"513","ring","general","指輪","アクセサリー"
"514","ass_visible_through_thighs","general","太ももの隙間から見えるお尻","身体特徴"
"515","on_side","general","横向き","ポーズ・動作"
"516","light_brown_hair","general","薄茶色の髪","髪・目・肌"
"517","garter_straps","general","ガーターストラップ","衣服"
"518","stuffed_toy","general","ぬいぐるみ","小物・道具"
"519","headgear","general","ヘッドギア","アクセサリー"
"520","eating","general","食べている","ポーズ・動作"
"521","testicles","general","睾丸","成人向け/センシティブ"
"522","magical_girl","general","魔法少女","職業・属性"
"523","sharp_teeth","general","ギザ歯","身体特徴"
"524","bara","general","バラ","関係・交流"
"525","crossed_arms","general","腕組み","ポーズ・動作"
"526","umbrella","general","傘","アクセサリー"
"527","arms_behind_back","general","手を後ろにしている","ポーズ・動作"
"528","gundam","copyright","ガンダム","作品・シリーズ"
"529","from_below","pose","下から","構図・カメラ"
"530","table","general","テーブル","家具・設備"
"531","cardigan","general","カーディガン","衣服"
"532","scrunchie","general","シュシュ","アクセサリー"
"533","wavy_mouth","general","波線の口","表情・感情"
"534","wolf_ears","general","オオカミ耳","身体特徴"
"535","leg_up","general","片脚を上げている","ポーズ・動作"
"536","demon_horns","general","悪魔の角","身体特徴"
"537","clothes_pull","general","服を引っ張る","ポーズ・動作"
"538","mouth_hold","general","口にくわえている","ポーズ・動作"
"539","shirt_lift","clothing","シャツをまくり上げている","衣服"
"540","standing_on_one_leg","pose","片足立ち","ポーズ・動作"
"541","frilled_sleeves","clothing","フリル付きの袖","衣服"
"542","frilled_skirt","clothing","フリル付きスカート","衣服"
"543","tank_top","general","タンクトップ","衣服"
"544","bright_pupils","general","輝く瞳","髪・目・肌"
"545","mob_cap","clothing","モブキャップ","衣服"
"546","demon_girl","general","悪魔少女","種族・属性"
"547","hair_tubes","general","ヘアチューブ","髪・目・肌"
"548","high_ponytail","general","ハイポニーテール","髪・目・肌"
"549","cover","general","表紙","形式・媒体"
"550","eyes_visible_through_hair","general","髪の隙間から見える目","髪・目・肌"
"551","bound","general","拘束","ポーズ・動作"
"552","antenna_hair","general","触角毛","髪・目・肌"
"553","own_hands_together","general","両手を合わせている","ポーズ・動作"
"554","cellphone","general","携帯電話","小物・道具"
"555","pink_bow","clothing","ピンクのリボン","アクセサリー"
"556","trembling","general","震えている","表情・感情"
"557","crossed_legs","general","足を組んでいる","ポーズ・動作"
"558","x_hair_ornament","general","X字の髪飾り","アクセサリー"
"559","oral","general","フェラチオ","成人向け/センシティブ"
