"tag","db_category_filled","tag_jp","category_jp","source_post_count","source_created_at"
"crescent-shaped_pupils","general","三日月形の瞳孔","目","85","2017-08-14"
"eye_color_connection","general","目の色のつながり","目","83","2024-04-21"
"moon_phases_over_eye","general","目の上の月相模様","目","35","2026-06-06"
"leucochloridium_eyes","general","レウコクロリディウムの目","目","15","2026-07-08"
"cyberpsychosis_eyes","general","サイバーサイコシスの目","目","10","2026-07-25"
"silver_skin","general","銀色の肌","肌","1384","2013-02-25"
"gold_skin","general","金色の肌","肌","465","2015-10-20"
"darkened_skin","general","色の濃い肌","肌","1049","2025-07-22"
"lightened_skin","general","色の薄い肌","肌","437","2025-07-22"
"split-color_skin","general","左右で色が分かれた肌","肌","478","2023-11-10"
"striped_skin","general","縞模様の肌","肌","469","2015-04-07"
"glowing_skin","general","光る肌","肌","370","2013-03-30"
"iridescent_skin","general","虹色に光る肌","肌","47","2025-06-01"
"rainbow_skin","general","虹色の肌","肌","37","2023-01-29"
"crystal_skin","general","水晶の肌","肌","37","2023-02-27"
"spotted_skin","general","斑点模様の肌","肌","63","2013-03-24"
"patterned_skin","general","柄のある肌","肌","51","2021-08-09"
"skin_seams","general","肌の継ぎ目","肌","1159","2026-02-10"
"skin_color_connection","general","肌色のつながり","肌","33","2024-02-10"
"sock_tan","general","靴下焼け","肌","55","2026-08-19"
"shoulder_freckles","general","肩のそばかす","肌","879","2024-12-13"
"chest_freckles","general","胸のそばかす","肌","330","2025-03-22"
"thigh_freckles","general","太もものそばかす","肌","282","2025-03-22"
"back_freckles","general","背中のそばかす","肌","37","2025-07-03"
"arm_freckles","general","腕のそばかす","肌","136","2025-03-22"
"no_freckles","general","そばかすなし","肌","123","2019-04-09"
"multiple_moles_under_one_eye","general","片目の下に複数のほくろ","肌","83","2026-08-01"
